Job_ID,Start_Time,End_Time,CPU_Allocated,GPU_Allocated,CPU_Ratio,GPU_Ratio
1,0,,128,2,1.0000,0.1250
2,0,,128,4,1.0000,0.2500
3,100596.0,,128,2,1.0000,0.1250
4,100596.0,,128,1,1.0000,0.0625
5,100596.0,,128,0,1.0000,0.0000
6,119.0,,128,1,1.0000,0.0625
7,119.0,,128,1,1.0000,0.0625
8,119.0,,128,1,1.0000,0.0625
9,248753.0,,128,0,1.0000,0.0000
10,248753.0,,128,1,1.0000,0.0625
11,34.0,,128,4,1.0000,0.2500
12,99.0,,128,4,1.0000,0.2500
13,99.0,,128,0,1.0000,0.0000
14,99.0,,128,2,1.0000,0.1250
15,99.0,,128,4,1.0000,0.2500
16,49.0,,128,1,1.0000,0.0625
17,49.0,,128,0,1.0000,0.0000
18,49.0,,128,1,1.0000,0.0625
19,49.0,,128,4,1.0000,0.2500
20,109.0,,128,1,1.0000,0.0625
21,109.0,,128,1,1.0000,0.0625
22,109.0,,128,1,1.0000,0.0625
23,109.0,,128,2,1.0000,0.1250
24,120.0,,128,1,1.0000,0.0625
25,120.0,,128,4,1.0000,0.2500
26,120.0,,128,4,1.0000,0.2500
27,120.0,,128,0,1.0000,0.0000
28,9.0,,128,0,1.0000,0.0000
29,9.0,,128,1,1.0000,0.0625
30,99.0,,128,1,1.0000,0.0625
31,99.0,,128,0,1.0000,0.0000
32,99.0,,128,1,1.0000,0.0625
33,1.0,,128,4,1.0000,0.2500
34,1.0,,128,2,1.0000,0.1250
35,1.0,,128,2,1.0000,0.1250
36,1.0,,128,2,1.0000,0.1250
37,1.0,,128,4,1.0000,0.2500
38,72.0,,128,1,1.0000,0.0625
39,72.0,,128,1,1.0000,0.0625
40,45.0,,128,4,1.0000,0.2500
41,45.0,,128,4,1.0000,0.2500
42,60.0,,128,4,1.0000,0.2500
43,60.0,,128,1,1.0000,0.0625
44,59.0,,128,2,1.0000,0.1250
45,59.0,,128,1,1.0000,0.0625
46,10.0,,128,2,1.0000,0.1250
47,10.0,,128,0,1.0000,0.0000
48,5.0,,128,0,1.0000,0.0000
49,108.0,,128,0,1.0000,0.0000
50,108.0,,128,2,1.0000,0.1250
51,108.0,,128,1,1.0000,0.0625
52,108.0,,128,0,1.0000,0.0000
53,92.0,,128,2,1.0000,0.1250
54,92.0,,128,0,1.0000,0.0000
55,41.0,,128,2,1.0000,0.1250
56,41.0,,128,4,1.0000,0.2500
57,28.0,,128,4,1.0000,0.2500
58,28.0,,128,4,1.0000,0.2500
59,95.0,,128,4,1.0000,0.2500
60,95.0,,128,0,1.0000,0.0000
61,17.0,,128,0,1.0000,0.0000
62,17.0,,128,2,1.0000,0.1250
63,109.0,,128,4,1.0000,0.2500
64,109.0,,128,1,1.0000,0.0625
65,109.0,,128,2,1.0000,0.1250
66,61.0,,128,4,1.0000,0.2500
67,26.0,,128,0,1.0000,0.0000
68,26.0,,128,2,1.0000,0.1250
69,26.0,,128,4,1.0000,0.2500
70,17.0,,128,1,1.0000,0.0625
71,17.0,,128,0,1.0000,0.0000
72,41.0,,128,0,1.0000,0.0000
73,26.0,,128,4,1.0000,0.2500
74,26.0,,128,0,1.0000,0.0000
75,101.0,,128,1,1.0000,0.0625
76,76.0,,128,2,1.0000,0.1250
77,76.0,,128,4,1.0000,0.2500
78,4.0,,128,2,1.0000,0.1250
79,9.0,,128,4,1.0000,0.2500
80,9.0,,128,2,1.0000,0.1250
81,95.0,,128,4,1.0000,0.2500
82,14.0,,128,2,1.0000,0.1250
83,14.0,,128,4,1.0000,0.2500
84,14.0,,128,1,1.0000,0.0625
85,5.0,,128,2,1.0000,0.1250
86,5.0,,128,2,1.0000,0.1250
87,35.0,,128,1,1.0000,0.0625
88,105.0,,128,4,1.0000,0.2500
89,105.0,,128,4,1.0000,0.2500
90,85.0,,128,4,1.0000,0.2500
91,85.0,,128,0,1.0000,0.0000
92,18.0,,128,2,1.0000,0.1250
93,18.0,,128,4,1.0000,0.2500
94,124.0,,128,0,1.0000,0.0000
95,124.0,,128,1,1.0000,0.0625
96,113.0,,128,2,1.0000,0.1250
97,113.0,,128,2,1.0000,0.1250
98,113.0,,128,0,1.0000,0.0000
99,113.0,,128,4,1.0000,0.2500
100,44.0,,128,2,1.0000,0.1250
101,44.0,,128,1,1.0000,0.0625
102,44.0,,128,2,1.0000,0.1250
103,128.0,,128,2,1.0000,0.1250
104,91.0,,128,2,1.0000,0.1250
105,91.0,,128,2,1.0000,0.1250
106,91.0,,128,1,1.0000,0.0625
107,98.0,,128,0,1.0000,0.0000
108,98.0,,128,0,1.0000,0.0000
109,98.0,,128,4,1.0000,0.2500
110,98.0,,128,0,1.0000,0.0000
111,21.0,,128,0,1.0000,0.0000
112,41.0,,128,4,1.0000,0.2500
113,41.0,,128,1,1.0000,0.0625
114,41.0,,128,1,1.0000,0.0625
115,41.0,,128,4,1.0000,0.2500
116,41.0,,128,2,1.0000,0.1250
117,41.0,,128,4,1.0000,0.2500
118,41.0,,128,4,1.0000,0.2500
119,41.0,,128,2,1.0000,0.1250
120,62.0,,128,0,1.0000,0.0000
121,62.0,,128,4,1.0000,0.2500
122,62.0,,128,2,1.0000,0.1250
123,68.0,,128,4,1.0000,0.2500
124,65.0,,128,2,1.0000,0.1250
